Employee,L,Ma,Mi,J,V
E0,none,none,none,D13,D15
E1,D11,D11,none,none,none
E2,D10,D10,D17,D11,none
E3,none,none,D0,D19,none
E4,D14,none,none,none,D19
E5,none,D18,none,D17,none
E6,D7,D19,D4,D18,D18
E7,none,D13,D1,none,D0
E8,none,D2,D15,none,none
E9,none,none,D18,none,none
E10,none,D17,none,D15,none
E11,none,none,D8,none,none
E12,none,D3,none,D12,none
E13,D19,none,none,none,D6
E14,D18,none,D16,D14,none
E15,none,D4,D19,none,none
E16,D2,D7,D11,D7,none
E17,D0,D16,none,D5,D16
E18,none,none,D14,D16,none
E19,none,D1,D13,none,D14
E20,none,D5,none,D6,none
E21,D3,D9,D12,none,D17
E22,none,D8,none,D9,none
E23,D1,none,none,D8,none
E24,D12,none,D7,none,D8
E25,D17,D6,none,none,D9
E26,none,D12,none,none,D7
E27,none,none,D10,none,D10
E28,D9,none,none,D10,none
E29,D16,none,none,none,D13
E30,D15,D14,D6,none,none
E31,none,none,D9,none,D12
E32,none,none,D5,none,D5
E33,none,none,none,D0,none
E34,none,D15,none,D1,none
E35,none,none,none,none,D3
E36,D8,none,none,D3,none
E37,none,none,D3,none,D4
E38,none,D0,none,D4,none
E39,D6,none,D2,none,D2
