instance,method,runs,avg_C1,avg_C2,avg_C3,best_C1,best_C2,best_C3,avg_runtime_sec,best_seed
instance1.json,ENT1_LOCAL,3,39.0,31.667,-7.667,39,34,-7,0.03225,3
instance1.json,ENT1_SA,3,39.0,35.667,-7.667,39,37,-7,0.684225,2
instance1.json,GA,3,39.0,34.333,-5.0,39,35,-7,0.020738,3
instance1.json,ILS,3,39.0,33.667,-7.667,39,34,-7,0.43206,2
instance1.json,SA,3,39.0,35.667,-7.667,39,37,-7,3.246798,2
instance10.json,ENT1_LOCAL,3,219.667,146.0,-1.667,220,146,-1,0.164397,1
instance10.json,ENT1_SA,3,220.0,174.667,-1.667,220,178,-2,3.572782,2
instance10.json,GA,3,220.0,148.667,-1.333,220,151,-1,0.108758,2
instance10.json,ILS,3,220.0,157.667,-1.667,220,162,-2,2.308348,3
instance10.json,SA,3,220.0,192.667,-1.667,220,194,-1,16.011915,1
instance2.json,ENT1_LOCAL,3,43.0,37.333,-5.0,43,38,-5,0.035915,1
instance2.json,ENT1_SA,3,43.0,41.333,-5.0,43,42,-5,0.740948,1
instance2.json,GA,3,43.0,41.0,-5.0,43,42,-5,0.020399,2
instance2.json,ILS,3,43.0,40.333,-5.0,43,41,-5,0.434417,1
instance2.json,SA,3,43.0,41.667,-5.0,43,42,-5,3.447527,1
instance3.json,ENT1_LOCAL,3,93.667,75.667,-4.333,94,83,-4,0.056608,3
instance3.json,ENT1_SA,3,94.0,85.0,-4.333,94,87,-6,1.193069,1
instance3.json,GA,3,93.667,70.667,-4.333,94,71,-4,0.048028,3
instance3.json,ILS,3,94.0,79.333,-4.333,94,82,-4,0.829996,3
instance3.json,SA,3,94.0,85.333,-4.333,94,87,-6,5.700968,1
instance4.json,ENT1_LOCAL,3,95.0,70.0,-4.667,95,72,-5,0.060597,3
instance4.json,ENT1_SA,3,95.0,84.333,-4.667,95,85,-4,1.215977,2
instance4.json,GA,3,95.0,72.333,-4.0,95,73,-4,0.040529,1
instance4.json,ILS,3,95.0,77.0,-4.667,95,79,-5,0.829978,3
instance4.json,SA,3,95.0,87.667,-4.667,95,89,-4,5.686099,2
instance5.json,ENT1_LOCAL,3,153.333,117.333,-11.667,154,119,-12,0.098476,3
instance5.json,ENT1_SA,3,154.0,132.0,-11.667,154,136,-12,1.964752,3
instance5.json,GA,3,154.0,125.667,-10.333,154,128,-9,0.058182,3
instance5.json,ILS,3,154.0,116.667,-11.667,154,118,-12,1.239934,3
instance5.json,SA,3,154.0,140.667,-11.667,154,143,-10,9.097876,2
instance6.json,ENT1_LOCAL,3,157.0,120.667,-9.0,157,124,-9,0.09865,1
instance6.json,ENT1_SA,3,157.0,135.667,-9.0,157,139,-9,2.051745,2
instance6.json,GA,3,157.0,126.667,-10.333,157,129,-9,0.058604,1
instance6.json,ILS,3,157.0,125.667,-9.0,157,127,-9,1.261773,3
instance6.json,SA,3,157.0,143.667,-9.0,157,144,-9,9.182004,1
instance7.json,ENT1_LOCAL,3,192.0,123.667,-2.667,194,113,-3,0.126748,1
instance7.json,ENT1_SA,3,194.0,154.667,-2.667,194,155,-3,2.790515,1
instance7.json,GA,3,193.667,131.667,-2.333,194,132,-2,0.078992,1
instance7.json,ILS,3,194.0,132.333,-2.667,194,137,-2,1.698708,3
instance7.json,SA,3,194.0,173.333,-2.667,194,175,-3,12.16514,2
instance8.json,ENT1_LOCAL,3,182.667,120.667,-6.333,183,130,-5,0.123294,1
instance8.json,ENT1_SA,3,183.0,151.0,-6.333,183,155,-5,2.728041,1
instance8.json,GA,3,183.0,131.333,-5.333,183,133,-6,0.079788,1
instance8.json,ILS,3,183.0,131.0,-6.333,183,139,-5,1.761048,1
instance8.json,SA,3,183.0,164.333,-6.333,183,165,-5,12.223594,1
instance9.json,ENT1_LOCAL,3,220.667,142.333,-1.0,221,145,-1,0.155214,2
instance9.json,ENT1_SA,3,221.0,171.333,-1.0,221,174,-1,3.362315,1
instance9.json,GA,3,221.0,146.667,-1.667,221,147,-1,0.097974,1
instance9.json,ILS,3,221.0,155.0,-1.0,221,157,-1,2.299789,1
instance9.json,SA,3,221.0,192.0,-1.0,221,194,-1,15.616294,3
